icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
LIML,LIN,Linate Airport,Milan,Lombardy,IT,353.0,45.445098877,9.2767400742,Europe/Rome,
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,171.0,63.9850006104,-22.6056003571,Atlantic/Reykjavik,
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,England,GB,80.0,53.3335990906,-2.8497200012,Europe/London,
LIRF,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15.0,41.8045005798,12.2508001328,Europe/Rome,
LIMF,TRN,Torino / Caselle International Airport,Torino,Piedmont,IT,989.0,45.2008018494,7.6496300697,Europe/Rome,
LFMN,NCE,Nice-Cote d'Azur Airport,Nice,Provence-Alpes-Cote-d'Azur,FR,12.0,43.6584014893,7.2158699036,Europe/Paris,
EPKK,KRK,John Paul II International Airport Kraków-Balice Airport,Kraków,Lesser-Poland-Voivodeship,PL,791.0,50.0777015686,19.7847995758,Europe/Warsaw,
EGHH,BOH,Bournemouth Airport,Bournemouth,England,GB,38.0,50.7799987793,-1.8424999714,Europe/London,
DNTZ,NBE,Enfidha Zine El Abidine Ben Ali International Airport,Enfidha,Susah,TN,21.0,36.075833,10.438611,Africa/Tunis,
GMMX,RAK,Menara Airport,Marrakech,Marrakesh-Safi,MA,1545.0,31.6068992615,-8.0362997055,Africa/Casablanca,
GCRR,ACE,Lanzarote Airport,Lanzarote Island,Canary-Islands,ES,46.0,28.9454994202,-13.6051998138,Atlantic/Canary,
LGTS,SKG,Thessaloniki Macedonia International Airport,Thessaloniki,Central Macedonia,GR,22.0,40.5196990967,22.9708995819,Europe/Athens,
LCPH,PFO,Paphos International Airport,Paphos,Pafos,CY,41.0,34.7179985046,32.4856987,Asia/Nicosia,
LEPA,PMI,Palma De Mallorca Airport,Palma De Mallorca,Balearic-Islands,ES,27.0,39.551700592,2.7388100624,Europe/Madrid,
GCFV,FUE,Fuerteventura Airport,Fuerteventura Island,Canary-Islands,ES,85.0,28.4526996613,-13.8638000488,Atlantic/Canary,
LFRS,NTE,Nantes Atlantique Airport,Nantes,Pays-de-la-Loire,FR,90.0,47.1531982422,-1.610730052,Europe/Paris,
LIPZ,VCE,Venezia / Tessera -  Marco Polo Airport,Venezia,Veneto,IT,7.0,45.5052986145,12.3519001007,Europe/Rome,
GCTS,TFS,Tenerife South Airport,Tenerife Island,Canary-Islands,ES,209.0,28.044500351,-16.5725002289,Atlantic/Canary,
LFQQ,LIL,Lille-Lesquin Airport,Lille/Lesquin,Hauts-de-France,FR,157.0,50.5619010925,3.0894401073,Europe/Paris,
LFRN,RNS,Rennes-Saint-Jacques Airport,Rennes/Saint-Jacques,Brittany,FR,124.0,48.0694999695,-1.7347899675,Europe/Paris,
EGNS,IOM,Isle of Man Airport,Castletown,Castletown,IM,52.0,54.0833015442,-4.6238899231,Europe/Isle_of_Man,
EDDH,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53.0,53.6304016113,9.9882297516,Europe/Berlin,
LKPR,PRG,Ruzyne International Airport,Prague,Praha,CZ,1247.0,50.1007995605,14.2600002289,Europe/Prague,
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,Canary-Islands,ES,78.0,27.9319000244,-15.3865995407,Atlantic/Canary,
LYPR,PRN,Pristina International Airport,Prishtina,Pristina,XK,1789.0,42.5727996826,21.0358009338,Europe/Belgrade,
HESH,SSH,Sharm El Sheikh International Airport,Sharm el-Sheikh,South Sinai,EG,143.0,27.9773006439,34.3950004578,Africa/Cairo,
